2019-11-13 16:21:31.398 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests], using SpringBootContextLoader
2019-11-13 16:21:31.434 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-13 16:21:31.437 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: NiceschoolapiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-13 16:21:31.863 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.nsapi.niceschoolapi.NiceschoolapiApplication for test class com.nsapi.niceschoolapi.NiceschoolapiApplicationTests
2019-11-13 16:21:32.336 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-13 16:21:32.445 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@702b8b12, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@22e357dc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49912c99, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@10163d6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2dde1bff, org.springframework.test.context.transaction.TransactionalTestExecutionListener@15bbf42f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@550ee7e5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5f9b2141, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@247d8ae, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@48974e45, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6a84a97d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6c130c45]
2019-11-13 16:31:03.450 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests], using SpringBootContextLoader
2019-11-13 16:31:03.481 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-13 16:31:03.495 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: NiceschoolapiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-13 16:31:04.247 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.nsapi.niceschoolapi.NiceschoolapiApplication for test class com.nsapi.niceschoolapi.NiceschoolapiApplicationTests
2019-11-13 16:31:05.154 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
